;0;1
0;RL;"[ 0.51209677  0.5483871   0.56048387  0.55645161  0.51417004  0.5465587
  0.58130081  0.54471545  0.51428571  0.54285714  0.51612903  0.54435484
  0.51612903  0.54032258  0.55870445  0.53441296  0.56504065  0.55691057
  0.54285714  0.52653061  0.51209677  0.56451613  0.52822581  0.56854839
  0.55060729  0.55870445  0.54065041  0.50406504  0.55102041  0.53469388
  0.56451613  0.56854839  0.55241935  0.52016129  0.55465587  0.55465587
  0.52439024  0.50406504  0.50612245  0.54693878]"
1;ADL;"[ 0.52419355  0.56048387  0.56048387  0.56854839  0.52226721  0.56275304
  0.56910569  0.53658537  0.52653061  0.55102041  0.52419355  0.55241935
  0.53629032  0.56048387  0.56680162  0.54251012  0.56910569  0.56097561
  0.51428571  0.53061224  0.52419355  0.55645161  0.5483871   0.58870968
  0.55060729  0.5708502   0.55284553  0.50813008  0.55918367  0.52653061
  0.58064516  0.56451613  0.57258065  0.52822581  0.55870445  0.55870445
  0.53252033  0.52845528  0.51428571  0.56326531]"
2;ADQ;"[ 0.39919355  0.38709677  0.42741935  0.44354839  0.42105263  0.4291498
  0.42682927  0.44308943  0.42857143  0.45714286  0.4233871   0.40725806
  0.40322581  0.40725806  0.44939271  0.39676113  0.41463415  0.42682927
  0.3877551   0.44489796  0.43951613  0.41935484  0.41935484  0.41935484
  0.38866397  0.43724696  0.36585366  0.45934959  0.44489796  0.4
  0.43951613  0.43548387  0.4516129   0.37903226  0.45748988  0.3562753
  0.41056911  0.35772358  0.41632653  0.44489796]"
3;KNN;"[ 0.44758065  0.45564516  0.49596774  0.46370968  0.39676113  0.39271255
  0.46747967  0.44715447  0.48163265  0.47346939  0.44354839  0.46370968
  0.43951613  0.4233871   0.44939271  0.44534413  0.49593496  0.45121951
  0.4122449   0.44081633  0.43145161  0.47580645  0.48387097  0.45967742
  0.4291498   0.47368421  0.45934959  0.40650407  0.47755102  0.42040816
  0.47580645  0.50806452  0.46370968  0.40725806  0.46153846  0.44129555
  0.46747967  0.38617886  0.47346939  0.43673469]"
4;NBG;"[ 0.48790323  0.51612903  0.54032258  0.49596774  0.44534413  0.47368421
  0.54065041  0.52439024  0.48979592  0.50204082  0.49596774  0.52822581
  0.45967742  0.52822581  0.5708502   0.45748988  0.52845528  0.47560976
  0.48571429  0.48979592  0.46774194  0.49596774  0.47983871  0.50403226
  0.48582996  0.53441296  0.52439024  0.53658537  0.49795918  0.48163265
  0.52419355  0.56048387  0.52822581  0.42741935  0.49797571  0.49797571
  0.47560976  0.48780488  0.46938776  0.55510204]"
5;NBM;"[ 0.4516129   0.5483871   0.54435484  0.52419355  0.46558704  0.50202429
  0.53658537  0.54065041  0.50612245  0.49387755  0.50403226  0.48790323
  0.50403226  0.52419355  0.5708502   0.48582996  0.56097561  0.51219512
  0.48163265  0.48163265  0.5         0.49596774  0.51612903  0.51612903
  0.47773279  0.53036437  0.51626016  0.49593496  0.51836735  0.55102041
  0.52016129  0.5483871   0.51209677  0.46774194  0.48582996  0.51417004
  0.50406504  0.52439024  0.47346939  0.55918367]"
6;SVML;"[ 0.52419355  0.55241935  0.56451613  0.55645161  0.51417004  0.5465587
  0.58130081  0.54065041  0.50612245  0.53469388  0.51209677  0.55645161
  0.54435484  0.5483871   0.58704453  0.52631579  0.56504065  0.54878049
  0.51836735  0.51020408  0.50403226  0.55241935  0.52016129  0.56451613
  0.5465587   0.5708502   0.53658537  0.50813008  0.55102041  0.54285714
  0.56451613  0.56451613  0.55645161  0.52822581  0.5465587   0.55060729
  0.5203252   0.50406504  0.51428571  0.54285714]"
7;SVMR;"[ 0.48790323  0.48790323  0.47177419  0.47177419  0.48582996  0.46558704
  0.47154472  0.47560976  0.46938776  0.48571429  0.46774194  0.47983871
  0.46774194  0.46774194  0.47368421  0.46963563  0.5         0.45528455
  0.48163265  0.47755102  0.46370968  0.47580645  0.47983871  0.46370968
  0.48178138  0.48582996  0.46341463  0.48780488  0.47755102  0.48571429
  0.47580645  0.47580645  0.45967742  0.46370968  0.47368421  0.48582996
  0.47154472  0.48373984  0.48571429  0.47755102]"
8;RF;"[ 0.44354839  0.52419355  0.47177419  0.50806452  0.46153846  0.43319838
  0.43495935  0.46747967  0.48163265  0.48979592  0.50403226  0.46370968
  0.41935484  0.47580645  0.49392713  0.44939271  0.5         0.47560976
  0.43673469  0.51020408  0.46370968  0.5         0.48790323  0.48790323
  0.47368421  0.46963563  0.49186992  0.45121951  0.46530612  0.42857143
  0.46370968  0.49193548  0.5         0.44758065  0.41295547  0.43319838
  0.45528455  0.43495935  0.46122449  0.46530612]"
9;ET;"[ 0.4516129   0.50806452  0.52822581  0.5         0.48178138  0.46963563
  0.47154472  0.45934959  0.46530612  0.48163265  0.45967742  0.46774194
  0.40322581  0.47177419  0.46558704  0.43724696  0.43495935  0.51626016
  0.44081633  0.46122449  0.44758065  0.47177419  0.43145161  0.47177419
  0.46963563  0.4534413   0.52845528  0.48373984  0.47755102  0.50612245
  0.5         0.47580645  0.5         0.48387097  0.47773279  0.53441296
  0.44715447  0.3902439   0.47346939  0.51428571]"
