;0;1
0;RL;"[ 0.38506132  0.3984583   0.36730262  0.38118498  0.4026491   0.36714391
  0.37695311  0.39173699  0.38413703  0.37930699  0.38405277  0.41289877
  0.3843189   0.37964185  0.38157973  0.36163938  0.38717316  0.38919013
  0.36847205  0.36723059  0.39414297  0.38191184  0.39943058  0.38781937
  0.39742088  0.37422222  0.36009666  0.37162075  0.35530446  0.38370836
  0.3779564   0.35855615  0.36718875  0.36321261  0.39237337  0.38272291
  0.39628834  0.38635049  0.36918544  0.39038727]"
1;ADL;"[ 0.38026217  0.40749115  0.37166216  0.36995026  0.40728242  0.38137722
  0.37902923  0.38715123  0.37591799  0.39827749  0.40013929  0.40113657
  0.39834472  0.39339938  0.37939784  0.37327762  0.39221273  0.4079054
  0.38607128  0.36273731  0.38598903  0.37401458  0.40741032  0.37712438
  0.40709548  0.39312262  0.37977874  0.38093153  0.37047275  0.39480568
  0.38753388  0.37937716  0.36919725  0.38760565  0.40031303  0.41414451
  0.39705936  0.40208692  0.37042498  0.38748018]"
2;ADQ;"[ 0.45428632  0.44315166  0.36372572  0.27413506  0.38365478  0.38663003
  0.38703     0.40062697  0.38267925  0.40904627  0.39749916  0.42992142
  0.40280582  0.4056202   0.35970512  0.25336507  0.34443191  0.43565441
  0.35672103  0.41228838  0.4124885   0.3902451   0.39787864  0.38551528
  0.35334577  0.27388554  0.32693844  0.39388373  0.38371385  0.41034807
  0.42036811  0.38354332  0.3921357   0.26553766  0.37273554  0.41046668
  0.4626878   0.40912845  0.34211737  0.3907218 ]"
3;KNN;"[ 0.38986377  0.43478318  0.38473075  0.41325291  0.42865446  0.37379726
  0.37938727  0.40170786  0.4291289   0.40477415  0.39492202  0.43486309
  0.36512589  0.39396702  0.39797005  0.39198212  0.39250106  0.42536673
  0.35785551  0.45235678  0.38955762  0.37704856  0.41520531  0.40604914
  0.40463601  0.40341483  0.35911325  0.39261845  0.3973864   0.41513958
  0.42817979  0.40369161  0.40089816  0.39904892  0.42376263  0.42495938
  0.40994368  0.41660454  0.3860083   0.3963161 ]"
4;NBG;"[ 0.40803515  0.44109263  0.41919414  0.39657727  0.40472179  0.43982123
  0.41128023  0.43399949  0.40648103  0.39161963  0.40953304  0.43597774
  0.42711322  0.41880196  0.39607241  0.41154427  0.42271198  0.42496257
  0.40573269  0.39328186  0.39503031  0.41367248  0.39192444  0.42290788
  0.43063513  0.42242713  0.40027259  0.42039511  0.43153805  0.42844998
  0.40351213  0.38411643  0.42598152  0.38392853  0.43114277  0.42473091
  0.4254312   0.43663512  0.42829383  0.39631454]"
5;NBM;"[ 0.40511044  0.40253411  0.40934391  0.43282004  0.43602881  0.44604203
  0.42027417  0.43734804  0.41469534  0.45331582  0.42510147  0.4242629
  0.46183351  0.4147126   0.44452412  0.39235747  0.42168896  0.43505726
  0.41758167  0.4255431   0.41889699  0.41872878  0.43592396  0.44937922
  0.42397585  0.4363256   0.42221109  0.43709838  0.39333218  0.43894195
  0.43746729  0.37431199  0.46198591  0.42520374  0.4782909   0.43249214
  0.4382595   0.4159444   0.38495839  0.43010425]"
6;SVML;"[ 0.39949726  0.39207464  0.37080663  0.38483388  0.38680425  0.40156939
  0.37337718  0.39553244  0.39012166  0.40785617  0.38373817  0.40753608
  0.403105    0.37085809  0.39274992  0.37848753  0.38888374  0.44012732
  0.38982956  0.37309327  0.38736144  0.38800318  0.41398074  0.3787968
  0.38597615  0.38749766  0.35968019  0.38347287  0.37110975  0.38601484
  0.3922732   0.38194879  0.38503401  0.38749928  0.41255238  0.40432652
  0.39316883  0.39645744  0.36886245  0.37126208]"
7;SVMR;"[ 0.22967918  0.24734552  0.28289794  0.27247239  0.26216174  0.24536603
  0.25284462  0.24418428  0.24668379  0.26249416  0.23934767  0.25581616
  0.26383037  0.27664053  0.252806    0.24286658  0.25801105  0.26824881
  0.24805823  0.25982696  0.23919487  0.27327208  0.24433715  0.24107181
  0.23553442  0.27023759  0.23129136  0.25632241  0.28308238  0.24522611
  0.24903944  0.26127215  0.25812408  0.24565582  0.25230759  0.2583952
  0.24062714  0.26119216  0.26134894  0.26150544]"
8;RF;"[ 0.40433618  0.40866619  0.37191358  0.38620181  0.4205881   0.40719582
  0.38445556  0.39773251  0.41313845  0.37619219  0.41067081  0.41891111
  0.45345507  0.40062541  0.40149352  0.42496671  0.38364876  0.42666006
  0.38636328  0.40728717  0.3666568   0.42468285  0.41092668  0.36571983
  0.39359142  0.41323255  0.40956163  0.36709709  0.41145077  0.43088369
  0.4269408   0.3984526   0.40099917  0.40995213  0.42875575  0.37608775
  0.4296118   0.41914318  0.41062494  0.37336938]"
9;ET;"[ 0.43353736  0.40822194  0.36084289  0.42203651  0.40476276  0.42044815
  0.40711462  0.40350285  0.41124161  0.41727501  0.36490575  0.43155068
  0.41850649  0.42523322  0.4026307   0.40542557  0.47531881  0.3842254
  0.41505619  0.42694337  0.39398016  0.35566704  0.41055742  0.38871555
  0.43243801  0.43148692  0.39788839  0.40032147  0.40060021  0.41282053
  0.39215334  0.39935843  0.39545124  0.3880114   0.41989541  0.42674694
  0.41664736  0.42588834  0.42456684  0.38924762]"
