;0;1
0;RL;"[ 0.51780822  0.49589041  0.51098901  0.5521978   0.49725275  0.55769231
  0.51923077  0.55647383  0.50413223  0.5399449   0.52328767  0.49589041
  0.53571429  0.5         0.5521978   0.48626374  0.54395604  0.57300275
  0.48484848  0.55922865  0.53424658  0.55616438  0.53571429  0.55769231
  0.50549451  0.51098901  0.50274725  0.52066116  0.50413223  0.52066116
  0.52876712  0.5369863   0.50274725  0.53296703  0.53021978  0.52747253
  0.51923077  0.5399449   0.49862259  0.53719008]"
1;ADL;"[ 0.52054795  0.50684932  0.51923077  0.56593407  0.50824176  0.56318681
  0.52197802  0.56749311  0.49586777  0.53719008  0.50958904  0.50136986
  0.52747253  0.51098901  0.55769231  0.48626374  0.54395604  0.57575758
  0.48760331  0.55647383  0.54794521  0.55890411  0.53021978  0.57142857
  0.51098901  0.50274725  0.51373626  0.49586777  0.5261708   0.51515152
  0.5369863   0.5369863   0.50274725  0.5467033   0.5467033   0.53846154
  0.51373626  0.53719008  0.48209366  0.53719008]"
2;ADQ;"[ 0.46027397  0.44383562  0.47252747  0.48626374  0.43956044  0.48351648
  0.46428571  0.50137741  0.4600551   0.44077135  0.45205479  0.45753425
  0.48626374  0.49725275  0.48626374  0.43956044  0.45054945  0.43526171
  0.46280992  0.48209366  0.46575342  0.50136986  0.43681319  0.49725275
  0.45879121  0.42032967  0.46703297  0.45179063  0.48484848  0.51239669
  0.48493151  0.45753425  0.43956044  0.47802198  0.50274725  0.51098901
  0.44505495  0.49035813  0.45179063  0.47933884]"
3;KNN;"[ 0.45205479  0.42739726  0.43131868  0.51648352  0.3956044   0.45054945
  0.43681319  0.48760331  0.4077135   0.4214876   0.44657534  0.42739726
  0.40659341  0.4478022   0.45879121  0.44505495  0.43131868  0.45730028
  0.44628099  0.44903581  0.44109589  0.45753425  0.44505495  0.45604396
  0.42032967  0.43956044  0.45879121  0.44628099  0.42424242  0.41322314
  0.46027397  0.44931507  0.42857143  0.41208791  0.45604396  0.43131868
  0.45054945  0.42975207  0.43250689  0.41597796]"
4;NBG;"[ 0.48767123  0.44931507  0.47802198  0.5         0.46153846  0.55494505
  0.5         0.5261708   0.44628099  0.46556474  0.45205479  0.46849315
  0.50549451  0.50824176  0.48076923  0.4532967   0.48626374  0.53719008
  0.45179063  0.52341598  0.49315068  0.50684932  0.49175824  0.52747253
  0.46428571  0.44230769  0.48626374  0.52892562  0.47107438  0.46280992
  0.48219178  0.49041096  0.43956044  0.48076923  0.51923077  0.53296703
  0.46978022  0.5399449   0.44077135  0.49035813]"
5;NBM;"[ 0.49041096  0.46575342  0.49725275  0.53296703  0.45879121  0.56868132
  0.5         0.5399449   0.47658402  0.53443526  0.48767123  0.49863014
  0.50824176  0.53021978  0.51923077  0.46153846  0.51923077  0.54545455
  0.42699725  0.54545455  0.51232877  0.5369863   0.5467033   0.5521978
  0.5         0.4532967   0.47802198  0.49862259  0.47107438  0.49586777
  0.51780822  0.49041096  0.45879121  0.49725275  0.52747253  0.56043956
  0.48901099  0.52892562  0.45179063  0.5399449 ]"
6;SVML;"[ 0.52054795  0.49863014  0.50824176  0.5467033   0.5         0.55769231
  0.52472527  0.56198347  0.50688705  0.5399449   0.50684932  0.49041096
  0.53846154  0.50824176  0.54395604  0.48076923  0.53571429  0.57575758
  0.49035813  0.55922865  0.54520548  0.56712329  0.53296703  0.56043956
  0.50824176  0.50549451  0.50824176  0.50137741  0.50137741  0.51239669
  0.54246575  0.54246575  0.51648352  0.52747253  0.53571429  0.52472527
  0.52472527  0.55096419  0.49311295  0.5399449 ]"
7;SVMR;"[ 0.48219178  0.46027397  0.45604396  0.47252747  0.47802198  0.46978022
  0.48076923  0.46556474  0.47933884  0.47658402  0.45479452  0.47123288
  0.45054945  0.46703297  0.47527473  0.46153846  0.46428571  0.46280992
  0.47107438  0.47933884  0.47671233  0.4739726   0.46703297  0.47252747
  0.46978022  0.45604396  0.47252747  0.4600551   0.4600551   0.4600551
  0.48493151  0.46027397  0.46978022  0.46428571  0.46428571  0.46978022
  0.47802198  0.46280992  0.47107438  0.46831956]"
8;RF;"[ 0.43013699  0.45205479  0.46428571  0.47527473  0.45054945  0.46703297
  0.43956044  0.47658402  0.47658402  0.46831956  0.44383562  0.45479452
  0.46428571  0.45604396  0.45604396  0.43681319  0.45879121  0.46556474
  0.39118457  0.47933884  0.45753425  0.45753425  0.43131868  0.49175824
  0.47252747  0.43956044  0.4532967   0.46280992  0.44352617  0.45730028
  0.46027397  0.46849315  0.43131868  0.48076923  0.47252747  0.47527473
  0.43956044  0.48209366  0.42975207  0.4600551 ]"
9;ET;"[ 0.42739726  0.44383562  0.41758242  0.43681319  0.43681319  0.45604396
  0.46428571  0.48209366  0.4214876   0.44352617  0.43561644  0.4
  0.45604396  0.45604396  0.45879121  0.44230769  0.48626374  0.45454545
  0.45730028  0.47933884  0.4109589   0.51506849  0.43956044  0.49725275
  0.45879121  0.42857143  0.46428571  0.47658402  0.42424242  0.43250689
  0.46575342  0.47945205  0.49725275  0.51098901  0.48076923  0.48901099
  0.4532967   0.45179063  0.41597796  0.46556474]"
