;0;1
0;RL;"[ 0.36374429  0.34777296  0.35841204  0.40366785  0.36002547  0.40334084
  0.37251852  0.40480588  0.36117497  0.39383938  0.37457912  0.35226048
  0.38804287  0.34970689  0.40200735  0.34540207  0.39504906  0.41662403
  0.33251146  0.40545796  0.3869779   0.40282948  0.38541667  0.40602446
  0.35335412  0.36038315  0.36461899  0.37474227  0.35558972  0.36780998
  0.36336196  0.39353552  0.35621284  0.38323148  0.38078318  0.37784977
  0.37376188  0.3977238   0.35172043  0.39006271]"
1;ADL;"[ 0.37568878  0.36831217  0.37918875  0.42940515  0.38636434  0.40965898
  0.37709006  0.4322062   0.36069664  0.39694729  0.36628839  0.3650222
  0.39203039  0.36106398  0.41292551  0.36135388  0.40184191  0.4402812
  0.33795853  0.41128964  0.41155443  0.42011708  0.39279273  0.43283188
  0.36751345  0.36244245  0.38606763  0.3542739   0.37529712  0.36724454
  0.37892056  0.39678624  0.3619461   0.40779571  0.41643888  0.40583716
  0.38045617  0.39493379  0.34455039  0.39636157]"
2;ADQ;"[ 0.4062218   0.39595803  0.43508945  0.44333773  0.41511598  0.43539763
  0.44769829  0.43962451  0.42573052  0.39435988  0.40166363  0.4123551
  0.42420155  0.44391015  0.4419551   0.38930732  0.42842785  0.43370187
  0.41890259  0.45583165  0.4196512   0.45833355  0.43204683  0.44730316
  0.39816351  0.38337518  0.42111467  0.39935341  0.43628825  0.46758333
  0.42275004  0.40810774  0.38751163  0.44397848  0.45197692  0.46822728
  0.42680033  0.4718014   0.39431583  0.42546885]"
3;KNN;"[ 0.40795974  0.38532356  0.37188134  0.48985287  0.33931251  0.39909702
  0.38813388  0.44849094  0.37171063  0.38244173  0.39761639  0.37567253
  0.35781283  0.39295488  0.4287938   0.39858232  0.3919676   0.41377043
  0.39350924  0.40938278  0.397093    0.40806012  0.40040268  0.40802374
  0.37730998  0.38617167  0.41296061  0.40228749  0.37371045  0.36087303
  0.410934    0.38793561  0.39501861  0.36989076  0.3928519   0.38301652
  0.41617023  0.38411299  0.39646522  0.37995196]"
4;NBG;"[ 0.41976813  0.37543375  0.38950437  0.41950535  0.40632226  0.46637983
  0.42795603  0.4560024   0.37328985  0.40051291  0.38062436  0.3882904
  0.43557407  0.41795912  0.41338161  0.39417663  0.41707209  0.447412
  0.39040316  0.45981741  0.41317664  0.43403646  0.4352159   0.44176292
  0.40542272  0.38101869  0.40156571  0.45172759  0.39809635  0.3909347
  0.40106761  0.41775884  0.37759939  0.41559226  0.42138438  0.46115467
  0.40368351  0.47331938  0.37965645  0.40197722]"
5;NBM;"[ 0.41412724  0.3926066   0.41920302  0.44385629  0.38626042  0.45846582
  0.41279792  0.45955582  0.40786633  0.47234927  0.41031057  0.42706921
  0.42613849  0.45264872  0.45171275  0.39032443  0.45237809  0.43226517
  0.35028254  0.45273425  0.4247895   0.44541691  0.47008361  0.46843654
  0.42919659  0.36393242  0.40195374  0.41233358  0.39612322  0.417302
  0.43169429  0.40181698  0.38951691  0.42317797  0.4333539   0.47816118
  0.42248824  0.44350902  0.37926533  0.45834662]"
6;SVML;"[ 0.36846853  0.35615444  0.36038445  0.39956348  0.36555763  0.40503853
  0.37102586  0.41131927  0.36335942  0.41038427  0.36506021  0.34926517
  0.39748701  0.36324967  0.39653195  0.35171808  0.38627109  0.42010565
  0.34144667  0.41330781  0.39961342  0.43349399  0.40253716  0.42499943
  0.36317633  0.36185939  0.36757435  0.36217352  0.36084056  0.36157737
  0.38461538  0.39821703  0.38290256  0.38922822  0.38650651  0.37587978
  0.3926052   0.40227262  0.35648267  0.4       ]"
7;SVMR;"[ 0.29614926  0.25616877  0.22852723  0.27854168  0.26522259  0.25655796
  0.26806626  0.25861713  0.26499174  0.2663214   0.23946381  0.25547374
  0.24266934  0.26552222  0.24045351  0.25745477  0.24148252  0.26867261
  0.27650776  0.27133949  0.28504906  0.26211712  0.24760059  0.25153
  0.26866949  0.24139487  0.26619401  0.26637754  0.24028147  0.2468902
  0.28333452  0.24228906  0.276429    0.24373647  0.24238137  0.25583229
  0.27463677  0.25193455  0.27215761  0.24258003]"
8;RF;"[ 0.41284434  0.42381954  0.40061328  0.40163483  0.37671317  0.4345981
  0.37027385  0.40306057  0.38499261  0.41455014  0.42915694  0.40366139
  0.39864373  0.42062691  0.3962651   0.41939924  0.38206701  0.4361804
  0.39521098  0.42303949  0.40509259  0.45212921  0.40883257  0.4266665
  0.38886295  0.38694378  0.40111083  0.39448441  0.43903063  0.38398091
  0.38043909  0.41224024  0.3527573   0.36387045  0.47385575  0.42617974
  0.38918708  0.39289348  0.39387647  0.44242473]"
9;ET;"[ 0.3859692   0.37672537  0.39194405  0.4486975   0.42399524  0.47461029
  0.36383432  0.41987366  0.36979958  0.37782828  0.34745256  0.40615033
  0.45350474  0.36657465  0.38896074  0.38658391  0.39153759  0.42533391
  0.37802795  0.41851901  0.40759809  0.38998955  0.41811719  0.46146768
  0.37277162  0.40910571  0.38241348  0.35054177  0.38385076  0.39083054
  0.396855    0.39089841  0.39312851  0.40080588  0.41310408  0.35279727
  0.38534043  0.39304483  0.39474798  0.39632531]"
